Iteration,Firefly,C,Epsilon,Gamma,Error,Moved_Towards
1,1,44.46907138144445,0.031927639689013604,0.2555693379394996,0.37361746324006895,1
1,1,44.518736053840485,0.07954939550323639,0.2544647560611222,2.512742367608371,7
1,1,44.5151304769683,0.1,0.21671412368672394,0.9887970143347803,9
1,2,77.12765306762182,0.07311371490363724,0.4409050547773424,1.102858268901393,0
1,2,77.12526513299231,0.04693187792603501,0.45998393518942854,0.18534232237448234,4
1,2,77.24996440981332,0.08345944405549946,0.4256004878121551,0.8012952332789942,7
1,2,77.22974840204162,0.06783002955625989,0.37697899020587267,0.7328159891337747,9
1,3,88.79027834161805,0.028067044380721058,0.9393754970871904,0.457057371381194,0
1,3,88.7611890288071,0.001,0.933704464947095,0.1885584593368522,1
1,3,88.73815577074777,0.02010672361070297,0.970791280784267,0.23259420848683993,7
1,3,88.78135993917628,0.043583699862744615,1.0,0.8751429464577386,9
1,4,57.42584391678411,0.004901758619888067,0.22266849808689426,1.9262988165110093,0
1,4,57.43641065786412,0.05088732741512142,0.19604528466393836,2.400987219809153,1
1,4,57.45146364237576,0.052320676749565156,0.23107514419301617,0.15895061711569994,2
1,4,57.41643633280533,0.08861971663920443,0.2266453482130659,0.835408927924802,7
1,4,57.395360600068216,0.1,0.23501830614873837,0.5774431049529057,9
1,5,32.02509062945426,0.026971986192887345,0.734295800071339,1.851512989705412,0
1,5,32.067266941922114,0.047674050255711246,0.6953474790074391,1.046703798876758,1
1,5,32.039076645973665,0.037247160152343195,0.7380900591621411,0.5957625910525968,2
1,5,32.01750356019827,0.006649802392681457,0.7150014612380547,0.7991313189318069,3
1,5,32.03807246204508,0.001,0.702384974357974,0.4000498854637607,7
1,5,32.060385020645164,0.001,0.7035462852741643,0.39788881443812596,9
1,6,14.374400422111538,0.001,0.19417148977097332,0.06447922358345404,0
1,7,95.56626076522852,0.001,0.8624487476466329,1.6468539306872985,0
1,7,95.61392936795338,0.03759097474543478,0.8761467477239969,0.16036942855413489,1
1,7,95.59178552141448,0.04520009895222822,0.8966362526806352,0.2495022353800675,3
1,7,95.6148925849546,0.0186000248622753,0.9391996819654236,0.1580447371184859,5
1,7,95.56615342474801,0.06667166589335106,0.9184455605707952,2.6678211903525417,7
1,7,95.58306247875716,0.05112597588745919,0.8748239113536493,0.18896367289291569,9
1,8,79.13191620474103,0.046219824135119235,0.5690522271135033,0.23125635789259635,5
1,8,79.16605505613438,0.04533993383384538,0.5235052645253386,0.6065698854176755,9
1,9,99.20782712320914,0.1,0.29610858961084663,0.34443649760439754,0
1,9,99.20333695104988,0.06180772257581385,0.3402613287453752,0.13143296967300366,1
1,9,99.21830389405329,0.06535564719243943,0.2932650448112534,0.8870376339903574,5
1,9,99.24200381826046,0.064910922352074,0.26782524086508236,0.4352321481687996,7
1,9,99.27975488379546,0.02795206044305453,0.26125454990032,1.4912105946983374,9
1,10,20.878569653651585,0.03448996552358283,0.4710650209915257,0.24173824320719356,5
2,1,44.52025701527727,0.1,0.24375345980338925,0.6129606244237371,1
2,1,44.561006544727775,0.1,0.25411005627795513,0.7169704239015324,2
2,1,44.51242928320186,0.05880121084627715,0.22558101371952644,0.07130216636248628,3
2,1,44.46867455492044,0.05992007780150138,0.22670342055545756,0.6679223477782742,5
2,2,77.27000913804196,0.040666066835817916,0.3315140829837636,0.32483464665605066,0
2,2,77.27489248722362,0.07949063638799511,0.31842319849761674,1.3248813875675058,3
2,2,77.32227528300388,0.1,0.304568746089805,0.17299395794576342,5
2,2,77.29908431392538,0.08794587916140922,0.2881710235300021,1.454087952015392,6
2,2,77.44868064920271,0.09341908582515214,0.31643721254597545,0.06159428152742553,7
2,3,88.81423612922353,0.043056165372807625,0.9941313310863507,0.0969488939952398,0
2,3,88.78110645985012,0.06603246063438752,0.9970304069564203,2.0550608610488363,1
2,3,88.80439560718617,0.0730107577960101,0.9547218962442431,1.6215189734060105,5
2,4,57.40024408928528,0.1,0.26048130665995234,0.36847510405428396,0
2,4,57.399373377419856,0.08049692042475554,0.26612362897115155,0.4416739559770773,1
2,4,57.430271083531345,0.03599321034360738,0.2522914673090649,0.826602803266902,2
2,4,57.443139552176135,0.05533214697545782,0.27045227103615793,0.3208760390774641,5
2,4,57.46308361189065,0.05735479170085733,0.3128449122679102,0.3320714049634934,6
2,4,57.439084699166486,0.04378841718026534,0.3184975361839538,0.940384490787452,7
2,4,57.474949533348564,0.001,0.3005851569300263,0.5904919534893958,8
2,4,57.4481496073933,0.022715951514225497,0.3333736691111233,1.3210018256700786,9
2,5,32.10487532864953,0.001,0.7129746339706431,0.3795618594799373,0
2,5,32.091463176185094,0.001,0.689637778165612,0.43397366549780664,1
2,5,32.05574405743379,0.001,0.729568555184271,0.7202278804403016,2
2,5,32.08072280453057,0.038747198086656165,0.7644441601173312,0.1470696220449752,3
2,5,32.030983661557265,0.04314241705220693,0.791924953581602,0.28229305826276885,5
2,5,32.00488827807587,0.05577714369237377,0.7747766000183008,0.35903952436258785,7
2,5,31.973478852239964,0.07593114469088258,0.782294062176557,0.12656950267400177,8
2,5,31.94222734031612,0.0446289847245911,0.8309321162799025,0.5814212264884008,9
2,6,14.347879322928375,0.05007165467509528,0.16984512953029487,0.5964122645838329,1
2,7,95.5834018213385,0.09129900560140948,0.9172903230698767,0.8407431655064356,0
2,7,95.54885580931014,0.07089211768555868,0.9533459641185994,1.5498159048962028,1
2,7,95.55851029046238,0.09037540760820453,0.9661637392730767,0.9252600313932293,2
2,7,95.59730870994787,0.07664679249906083,0.9975374999155807,0.07539257904280616,4
2,7,95.62334279936931,0.09137222651868182,1.0,0.1402997521811356,5
2,8,79.14719468784125,0.06425780557465617,0.500298631664615,1.3400318620914393,0
2,8,78.93760596762513,0.0973853852918615,0.4768226275597015,0.8812642053193783,1
2,8,78.96654064789305,0.06604807017334793,0.4701833078521115,1.0170278961263095,2
2,8,78.9286231300209,0.07602399292356637,0.49999030626957314,1.2225525924082703,4
2,8,78.91634940076115,0.0395677214652687,0.5396910754586837,0.16664726837880975,5
2,8,78.8820050826925,0.08354673707300118,0.5592144680537589,0.619411902702943,6
2,8,78.88887786051768,0.08334076890316847,0.5131466946891028,1.4641217117204752,9
2,9,99.29353820422415,0.001,0.3031623454492387,2.2947019590613635,0
2,9,99.29595403898186,0.001,0.3390423901729088,0.4827495945445737,1
2,9,99.27431364705865,0.004777084417832366,0.36444873137345984,0.18797284407404763,2
2,9,99.26763576991289,0.001,0.382338524144929,0.38407064949227226,4
2,9,99.22915840896022,0.001,0.3588922407247281,0.8046425090293864,5
2,9,99.2560694274582,0.01977892715632229,0.33368613436917427,0.4837311691587724,6
2,9,99.25472889570919,0.001,0.31074664403538466,1.8403270637922322,7
2,9,99.28341447602509,0.001,0.2991275354723016,3.7716740871868666,9
2,10,20.84591163426031,0.06504798941955409,0.4385513636016274,0.7130767674425883,0
2,10,20.850027285713676,0.07870146442408821,0.39031911097260985,0.2526471444948542,1
2,10,20.858278948381194,0.1,0.37299572219024035,1.0543461502033369,2
2,10,20.887811435170505,0.1,0.33321008508063354,1.0531383961567027,5
2,10,20.862517111185134,0.07976272493098359,0.3514247527764136,1.7168548801409431,6
3,1,44.45101179316962,0.08120846344229607,0.2440188926009063,2.2226721985118165,1
3,1,44.445076795963836,0.1,0.28742309962338847,1.6008463273376807,5
3,3,88.7869084058464,0.06613645754003489,0.9133701320946189,2.698657965478759,0
3,3,88.75641308484224,0.1,0.9535071414221775,0.3434184478161666,1
3,3,88.7364823885468,0.1,0.984520551388598,0.5089852831819099,5
3,3,88.77451335622095,0.1,0.9494220392413096,0.3013992654163454,6
3,4,57.416476758558545,0.0634190962577486,0.3523303633772568,1.3388380943079579,0
3,4,57.3709674562306,0.05117270632944004,0.3423773348483302,1.0200869134613992,1
3,4,57.34146524710354,0.014918706412424751,0.36730239887254795,0.5931454534812962,2
3,4,57.31681688567143,0.06116550218695156,0.3419286993274356,0.631058115159325,4
3,4,57.3535965891404,0.025893489383772526,0.3451038513178806,0.3439033065456463,5
3,4,57.36123639394743,0.001,0.38909876238037994,1.9874663383402769,6
3,4,57.38361388319355,0.043621069370338675,0.43471605936130964,0.07789503063411111,7
3,5,31.982391366309585,0.08012903545520605,0.8537415658643858,0.08321293054624272,0
3,5,31.93908425878506,0.1,0.8815313580373467,0.5771370904257568,1
3,5,31.90218748591307,0.1,0.8672072863672454,1.3402329183813702,3
3,5,31.904533700359714,0.1,0.8649529186327217,1.342642973048696,5
3,5,31.882614422375582,0.1,0.8843253126261423,0.5817373915686341,6
3,6,14.336350778153506,0.01712007554797438,0.1337520695510362,0.09690466554421488,1
3,7,95.60242622708596,0.1,1.0,0.17570426082653828,0
3,7,95.63174967569152,0.1,0.968044484868556,0.7852718970822872,1
3,7,95.64939616883895,0.05736647487819451,0.9917942032369753,0.50852406436493,5
3,8,78.93714451977202,0.1,0.4901526281489813,0.12449877096750579,0
3,8,78.72835528114629,0.08837097344555654,0.4809988446265559,1.2515043316996495,1
3,8,78.72894044750402,0.04240207885207426,0.5241357217946181,0.18396547686868,2
3,8,78.71206611298611,0.007881879650102959,0.5168037944051025,0.060820107686088774,3
3,9,99.32803967000379,0.001,0.3141033710050443,3.773695449787591,0
3,9,99.29726447561994,0.001,0.31517108667423804,1.300231796566654,1
3,9,99.28573645852552,0.001,0.28178504234468627,0.30833519099534695,2
3,9,99.27385183595594,0.001,0.2892994371195273,3.819548250963663,3
3,9,99.23631850679509,0.03910886989138736,0.2714470523511375,1.3523864578007132,4
3,9,99.23162303843188,0.02138973509252459,0.3069237132881021,0.28978234549902976,5
3,9,99.19389926629239,0.06582039465641731,0.26180023482210535,0.7569967314612154,6
3,9,99.20830488437046,0.09198737651101771,0.3078285811823655,1.003728542698668,7
3,9,99.1733601583809,0.04325608943878252,0.31902891863487287,0.1989403818680697,9
3,10,20.85675766282043,0.057003235648307296,0.3933856133031023,0.24632366619490356,0
3,10,20.898511883568634,0.023934273104565397,0.4159611457556631,0.1582519728554693,1
3,10,20.87468954430729,0.0070686225867760515,0.4296809688597986,2.7238260506967156,2
3,10,20.87659647313429,0.0020062452929686322,0.40939772022580984,0.47244373748234963,3
3,10,20.845273387279114,0.03743291936125054,0.41732196199190746,0.1773171290038411,4
3,10,20.88302542025299,0.025760871064427655,0.450044073898552,0.2830309946828476,5
3,10,20.853363481855773,0.06588054822535172,0.4854268656840135,0.4571601104834571,6
3,10,20.88240547842008,0.04183768846499658,0.44209533971884907,0.07243571043993181,7
4,1,44.39545538973467,0.05300631418569836,0.2878336849627881,0.3928507615171078,1
4,1,44.354673200957215,0.06227830798210507,0.3086367099297385,0.8959173470305475,5
4,1,44.323830399313245,0.035688086620786805,0.3314978494761978,0.7465079236725174,7
4,2,77.68084391148163,0.03693518207558257,0.3400516233865602,0.30735627843103114,7
4,3,88.75353923258521,0.06889092259097668,0.9384923701042432,2.45630028267042,0
4,3,88.73091731134281,0.09042703605922674,0.9174250437023254,0.6898168970287818,1
4,3,88.69816992360722,0.1,0.885715571070518,0.328782517417327,3
4,3,88.7047529400011,0.05738578054823737,0.8602174249018693,2.4074848493049004,4
4,3,88.72237685162996,0.015506337649416106,0.8263086369250325,1.5722311913570077,5
4,3,88.76187353494682,0.0016271083436773075,0.7972786164661118,0.5259954171628659,6
4,3,88.71455474528868,0.02855897074799384,0.8155295458345431,0.48208482246259277,7
4,3,88.76238467272633,0.049071848061002565,0.7678270975011592,0.08539346471421251,9
4,4,57.38221590587217,0.006950839477310802,0.44786258329410067,0.2319536094478287,0
4,4,57.37978751860446,0.018022433467226623,0.40769084084427043,1.153316444621377,1
4,4,57.352184687860486,0.001,0.4445854598852743,0.5512741757476312,5
4,4,57.37433916093155,0.015310722352342564,0.39469185196599155,0.3931359233190336,6
4,4,57.38814056645883,0.001,0.43616314179809657,0.5636410853560986,7
4,4,57.38893418166797,0.03638444990425597,0.4730266614345638,0.14554030106744786,9
4,5,31.885178798252586,0.1,0.879702880768357,0.5917272340663776,0
4,5,31.908736078174083,0.1,0.9184643556220595,0.18598384948400026,1
4,5,31.866683574480334,0.1,0.9176946057804755,0.18415908868054726,3
4,5,31.877633782790603,0.1,0.9474623152135688,1.6797522124251214,5
4,5,31.863142162769098,0.1,0.9824351609317319,0.4907489223020868,6
4,5,31.909425634343506,0.0823142285192845,1.0,0.5540488674619909,7
4,5,31.897258118291905,0.04907692104139627,0.9902238568923493,0.28952975335404,9
4,6,14.347010929924018,0.015751414395991804,0.11335859705793364,0.1456667682291409,1
4,6,14.310277724770042,0.0010995843751673059,0.1084495218843415,0.4204854790855199,7
4,7,95.63270855107146,0.07320157183969038,1.0,0.07872905008121801,0
4,7,95.58920879603798,0.08200491954806233,0.9817551777908909,0.41322048294209157,1
4,7,95.61540969001774,0.1,0.9520159100820359,0.6036707169324591,5
4,7,95.62494805543045,0.1,0.9546383848685113,0.338528382543194,7
4,7,95.61367176794911,0.05318821516563793,0.9717057602780937,0.33926089908163576,9
4,9,99.15977902874224,0.015586897314970517,0.33383955974628793,2.2512475500627405,0
4,9,99.1366437323884,0.022548514413640544,0.33981839372683553,0.5340886128708817,1
4,9,99.14027708762343,0.05811508700127423,0.3505354513747315,0.23483735874616737,2
4,9,99.11041111949665,0.060923573510140105,0.3618453453663221,0.8943076644967219,3
4,9,99.15118842152313,0.07471768585864505,0.3964097556565984,1.4388479216962793,4
4,9,99.12875057198126,0.04263936192638374,0.4011857657645575,0.41405732114044763,5
4,9,99.1333055231761,0.03319309533726411,0.44121415451744667,0.18550931517014754,6
4,9,99.08619205288812,0.008028588273970315,0.4629334929108415,0.5471347163620108,7
4,9,99.12435776975133,0.001,0.44799536621662306,0.6983893068589998,9
4,10,20.836675727798657,0.0608862447060595,0.39771070548845183,0.17443154910852002,0
4,10,20.800780182274014,0.02980074600386883,0.39940179844388,0.13380383612481692,1
4,10,20.753144166169356,0.061726318370708785,0.3683961859498005,0.4242705687667848,5
4,10,20.769978580659615,0.09707782800739928,0.3953728051011863,1.0300936543826005,7
5,1,44.34282129245757,0.001,0.31763331678096934,1.3674459155207919,1
5,1,44.35956350121773,0.015084479494237014,0.31919545587324,1.5011424940832758,5
5,1,44.336901725365905,0.001,0.360088439662151,0.6096926860427122,7
5,2,77.973577144088,0.047813985943547056,0.37647684519217084,0.8369282086982011,7
5,3,88.80494136212663,0.06419479660890447,0.800380182389501,0.4217348250423436,0
5,3,88.84174167392318,0.020541464110469504,0.817776395869103,0.5402908376309573,1
5,3,88.87370338693066,0.018978230982541883,0.8677503964943236,0.2804521498558624,3
5,3,88.85141369171164,0.04239301751369538,0.8496064427122569,0.15458488463421824,4
5,3,88.82162982964662,0.04689765660434825,0.8308749127039663,0.4203158648522702,5
5,3,88.79525181888751,0.001,0.8624334569757284,2.530817602035978,6
5,3,88.76582089424404,0.001,0.884170613326493,2.061854475768242,7
5,3,88.75531901542038,0.026335112848316012,0.840886936707799,0.1437505680063072,9
5,4,57.43308985475756,0.001,0.4828945323948682,1.0092371376041416,0
5,4,57.470670035585655,0.026965319975844795,0.4398113142244524,0.07294196878309211,1
5,4,57.44906637187429,0.0253897500287279,0.410239140398438,0.2719273032961717,5
5,4,57.42021960985704,0.05691430019661016,0.41913429086655657,1.448830232570154,7
5,4,57.437890257188876,0.021261790446407927,0.4161286970399783,0.8177564139177278,9
5,5,31.87625934697419,0.024206737421394807,1.0,0.11147598112014413,0
5,5,31.912323452110673,0.02864346443721919,0.9860071142240686,0.4751121692735095,1
5,5,31.940758056075982,0.001,0.9933159351066414,0.86193060027828,3
5,5,31.930732690008544,0.004288205427039381,1.0,0.07170222704355354,5
5,5,31.978109544821105,0.03477308016270912,0.9754644424035043,0.1087599426201736,7
5,6,14.350707803049227,0.001,0.09319118439202963,0.4336412115673244,1
5,6,14.362862058936441,0.04372501900990591,0.04504432238650813,0.3605957849783783,7
5,7,95.640682001497,0.02939591633205141,0.933982007796197,1.0199561943270148,0
5,7,95.63349889472411,0.07207255780764915,0.927930261913947,1.355132785981463,1
5,7,95.61708626586592,0.1,0.9114777573699729,0.11816323324896182,3
5,7,95.61024567041471,0.1,0.9121488896954194,0.4705281620377288,4
5,7,95.61118977237909,0.1,0.9494432569461307,0.15653070888732598,5
5,7,95.59276817909493,0.0637435275871905,0.9721818145982299,2.3983416502065142,7
5,7,95.55113964610061,0.1,0.988564003219405,0.9048121528817357,9
5,9,99.13446232419422,0.001,0.4830824224050727,0.3195828226097356,0
5,9,99.0991841627152,0.002265522178504697,0.4533822401852614,0.6424571763621685,1
5,9,99.0827334699275,0.012761512854687296,0.42709370741459485,0.4757520429004289,2
5,9,99.0703911678781,0.051272727948056464,0.37754495725936066,0.6827762948131326,3
5,9,99.07307006574439,0.02409910846806641,0.42464356205489,0.1416170223514035,4
5,9,99.09444590725437,0.010312507498428412,0.4082044439078602,0.9573356977691808,5
5,9,99.12478840971897,0.051026651779147045,0.3965903603983477,0.06398090567728723,6
5,9,99.09882905826346,0.007684400509313141,0.3472259547066116,0.1883183669813877,7
5,10,20.749275037162864,0.07882995787518962,0.35628894359331525,0.883455329836021,0
5,10,20.78802739365925,0.07595051550205606,0.3247564793301603,0.09693699255211362,1
5,10,20.78409279959921,0.1,0.2953399958510047,1.0066257050084675,4
5,10,20.74349495412718,0.1,0.2758401893215918,0.7242012083910951,5
5,10,20.712568488019862,0.1,0.2770760382849524,0.7242816548020138,7
5,10,20.708307458454282,0.056525755024031336,0.25427725522193545,0.08684300618674927,8
