Iteration,Firefly,C,Epsilon,Gamma,Error,Moved_Towards
1,1,19.538137743379448,0.001,0.754037382097234,0.325394324602608,1
1,1,19.510337404116356,0.001,0.7094572746271067,0.3214300556611994,3
1,1,19.505228274429502,0.001,0.6925040323377069,0.3199514416904771,4
1,1,19.531373666342407,0.001,0.7109006591036972,0.3215689036806661,5
1,1,19.55044232444078,0.001,0.7018333226317606,0.32078688920621806,6
1,1,19.59493787660773,0.001,0.6731254840717835,0.31832276249046976,7
1,1,19.570071603282987,0.001,0.6297518853041919,0.3146804937591555,8
1,1,19.546826360887817,0.0033396562662912793,0.5945463014225867,0.31189776686050763,9
1,3,30.302198160438763,0.1,0.8773716649289214,0.09248064632089895,0
1,3,30.31184234546325,0.1,0.8726467133250712,0.09174649666534924,1
1,3,30.303542437878274,0.08044986612533968,0.9034632741471187,0.23368673378867338,4
1,3,30.30022239505087,0.060082979523220115,0.9250478777005967,0.09502746315176928,9
1,4,54.77160368486963,0.09042452390178489,0.6674335761863821,0.2885516589832853,1
1,4,54.81534437029136,0.08233651896332615,0.666072216260054,0.35622543559871656,2
1,4,54.76845420100327,0.06362554269434062,0.6433294778447375,0.2152396240113667,4
1,4,54.809195712039006,0.02369300828005535,0.6751717246766967,0.0798732860103079,8
1,5,70.24613044744277,0.05614877119116096,0.052742749424593414,0.0352848552000711,1
1,6,59.41530693316258,0.05603438914984423,0.0917424222552714,0.11182207513988833,1
1,6,59.36629292321308,0.1,0.09321731465806499,0.05878043589985577,2
1,6,59.37575017516422,0.06955213301832913,0.10283577477747217,0.08987113612455248,4
1,7,4.1773345469496475,0.04294381578183084,0.616691561399476,0.30377780319412123,1
1,7,4.176310142901802,0.022807426132171557,0.5833150713108984,0.31534496958243036,2
1,7,4.145916188886105,0.013223805519055318,0.5616914656293286,0.305432795331322,3
1,7,4.149630772999791,0.001,0.5544383850831973,0.3141729117690533,4
1,7,4.102921108898302,0.001,0.5778742193046426,0.31450401841815473,5
1,7,4.140690768726795,0.001,0.5439396924011366,0.3140438145836721,8
1,7,4.126626527079937,0.02743335988486594,0.5673728996172788,0.30638940621920546,9
1,8,66.6495446970624,0.06580794440562983,0.7046917314504333,0.4797521925115466,1
1,8,66.6612871150626,0.04411743128795503,0.7081011547840707,0.243001019123626,2
1,8,66.67931529759225,0.04550150618411817,0.687274933261967,0.19774526432662137,3
1,8,66.6570922679238,0.06469841261751294,0.7344856680445556,0.08537389198568486,4
1,8,66.70470107915575,0.06491864375592955,0.7322686369643941,0.21033002708156845,5
1,9,65.87660209677324,0.02656573990267952,0.11155649141803677,0.12237734501170187,1
1,9,65.92306316004345,0.02878686947862612,0.14699945875621545,0.1108858742609303,2
1,9,65.95988310775482,0.02205514974592785,0.19043554356651315,0.12630617469507,3
1,9,65.9313978562892,0.07158274583829771,0.20446892372803693,0.052789544954923114,4
1,10,97.92224423833876,0.05039318909026583,0.43919382348856084,0.2939891685603773,1
1,10,97.89855728471358,0.04438467988779775,0.4480910451402063,0.18500772555097328,3
1,10,97.91919764377467,0.03235204650977753,0.4800898667813133,0.25349617168178046,4
1,10,97.94965042874115,0.022568598848109696,0.4379199398758982,0.11585988379706003,5
1,10,97.90073360181196,0.001,0.43880554247630854,0.14551787269655783,7
1,10,97.86369633764724,0.001,0.4474551467251955,0.14512190956151388,8
2,1,19.57655314452627,0.001,0.6025514790203228,0.3125167532000499,1
2,1,19.59596007923025,0.001,0.6511111613243282,0.3164571853097142,2
