Iteration,Firefly,C,Epsilon,Gamma,Error,Moved_Towards
2,8,2.097938448115012,0.001,0.30406425057486786,0.780737824293294,9
2,9,43.35106381509265,0.020638951605346116,0.7394528840911941,0.18775501738332076,2
2,9,43.35699460491867,0.001,0.7004341192607294,0.7447679338687435,3
2,9,43.397265039149794,0.001,0.7374482085311215,0.7444877797012343,4
2,9,43.44382030946175,0.001,0.7198164557639988,0.744551544576191,5
2,9,43.47691356713815,0.001,0.6944734581683764,0.7447188812255187,9
2,10,37.58336059476969,0.07497866481550289,0.41466249146354234,0.06554760984063247,2
2,10,37.58562578531926,0.04682451729606742,0.40988972869535406,0.2682780763724005,4
2,10,37.630983105420555,0.04720643270533971,0.4442846559600074,0.2790783756540894,5
3,1,21.87465357137562,0.1,0.26457193201249013,0.15875403008026692,1
3,1,21.90238447438763,0.05342265674670056,0.2501726089840495,0.3773358285542434,2
3,1,21.911824918966996,0.05533615045998696,0.2728259556462799,0.13057144043868435,3
3,1,21.866793278975113,0.08376542329010656,0.30797214523930316,0.05593417541292229,4
3,1,21.83457070748073,0.1,0.30393144657479376,0.15959576434009407,5
3,2,55.56040570444576,0.08680576644708479,0.3113882246822888,0.06658077625495465,0
3,2,55.53129992362731,0.08424399249667379,0.3516230620845842,0.045561433253029644,2
3,2,55.49823314863807,0.1,0.32620377837554804,0.1598520786023411,5
3,3,94.20821813696851,0.06787842207373923,1.0,0.21950100520275226,1
3,3,94.22281082739826,0.026743362608666776,1.0,0.33965688555073703,4
3,3,94.17931987239272,0.001,1.0,0.21840686182642646,5
3,4,97.78426956552313,0.001,0.7357937841802549,0.2011362232847722,0
3,4,97.81580257487276,0.001,0.7028191107397258,0.18165616269231766,1
3,4,97.82741516878973,0.006663324743282183,0.7439056436538427,0.5138546723434241,2
3,4,97.842645046155,0.04185982315463822,0.7833897521866189,0.33536983066755993,4
3,4,97.88352858073985,0.0016515101468385432,0.831312756775656,0.6818436479109533,5
3,4,97.92813025539203,0.014043790519849799,0.8233558816422905,0.3019021346852801,9
3,5,26.484971950453513,0.08816838926001336,0.3634921832367632,0.10666152914902585,1
3,5,26.471819610514615,0.1,0.326147854603484,0.15984005866451476,5
3,7,12.803679133750938,0.019381866474599673,0.1848429274862179,0.3854816091700742,0
3,7,12.80565903136767,0.039017054100377896,0.2079217837017153,0.19448452412865413,1
3,7,12.756698239553497,0.06201022860570937,0.1891155990779741,0.08038367543793047,2
3,7,12.741145291281276,0.01398838618303918,0.21552607401887547,0.498803779281536,3
3,7,12.759967586278394,0.001,0.21101899232082932,0.7760602379232143,4
3,7,12.73332089973448,0.016277974840256882,0.2356954993139745,0.42684525657602074,5
3,7,12.706407306743056,0.017038603362332507,0.2371341436394806,0.38346385119493454,8
3,7,12.720350888725315,0.04271730867088663,0.25597467076537733,0.13370525783704496,9
3,8,2.0943562195096153,0.030490073634834882,0.2824692267867675,0.6099069798012765,0
3,8,2.0775570854943335,0.053811388681943934,0.2826070233269416,0.1670478575606674,1
3,8,2.0424459808230897,0.0799157900420834,0.2804202203932019,0.15870915266397173,2
3,8,2.0223064707045224,0.05935958927209006,0.2947545836581868,0.10141938298684439,3
3,8,1.9731240344511665,0.09080383412948362,0.33457957556930484,0.15993613010899457,4
3,8,1.9662974158160054,0.1,0.30045357823001284,0.08194065650039614,5
3,8,1.945155048523672,0.1,0.3418199857046229,0.07224579104460706,6
3,8,1.9913494830304586,0.1,0.32241144333715255,0.061028450039971295,8
3,9,43.42706849526758,0.001,0.6721551646744329,0.7449741336012105,0
3,9,43.4761500429272,0.001,0.6937407146995527,0.7447259637704656,1
3,9,43.52490076031655,0.001,0.6548227026794676,0.7450852527295654,2
3,9,43.49212195604202,0.001,0.6210545362541845,0.7455542882763078,3
3,9,43.49641201096682,0.001,0.5926952644425642,0.7460035903645986,4
3,9,43.52414751890008,0.001,0.5529752559337768,0.7467489862791238,5
3,9,43.50152995983815,0.02229768158256037,0.5733919643941684,0.21919635637262955,7
3,9,43.504423830318494,0.029132717806030762,0.5465530072225471,0.3123281380853452,9
3,10,37.58767829308463,0.011531539940219528,0.45690086003009445,0.1954105452436365,0
3,10,37.57659996331823,0.001,0.4158466042460069,0.7550024099524167,1
3,10,37.60815960004809,0.025800432962261224,0.4071766271400963,0.49100651685192415,2
3,10,37.58805603033022,0.02189736215678202,0.4018913817055972,0.28653778789678885,4
3,10,37.631531932609,0.001,0.35998199301869205,0.7570034206460677,5
3,10,37.624962862228706,0.001,0.40536955593611307,0.7553176696663199,7
4,1,21.86562967984479,0.06967789033246347,0.2850112042350617,0.16512190939828558,1
4,1,21.8415566874039,0.1,0.28189344607167105,0.15899222308143643,2
4,1,21.815010280363175,0.08904253569458202,0.3106711147604406,0.12717713056486138,4
4,1,21.788387606354906,0.09792194689863166,0.29566522480958224,0.15635288528359506,5
4,2,55.540088788865525,0.0866267279980363,0.3638028818323224,0.07259284753147696,5
4,3,94.17865415253657,0.001,1.0,0.30174235094621543,1
4,3,94.18586931697915,0.026761569725934,1.0,0.1427986547593644,4
4,3,94.16526232546256,0.020620768851616823,0.9990517447813304,0.14180100456248185,5
4,4,97.8816657323376,0.05073435990460021,0.774336441096076,0.2636406610442506,0
4,4,97.85059844460744,0.07577864254293781,0.789412087852923,0.07673206219278748,1
4,4,97.80637657648984,0.03449500308924254,0.7542790295251375,0.4698612538004432,2
4,4,97.85292512593088,0.06667303701493119,0.7939998481451648,0.21486931018189698,4
4,4,97.80756712126595,0.0795755636657581,0.7645304004070319,0.0909454530061651,5
4,4,97.76215690573474,0.1,0.7774510268227564,0.15549002088264935,7
4,4,97.808450315698,0.1,0.756725362194429,0.1543494215925984,9
4,5,26.470381682519974,0.1,0.3120861949084074,0.15963073930858093,1
4,5,26.518133562992407,0.05227783770558473,0.28091212055446874,0.11435867500366122,5
4,7,12.72447603133494,0.08009261734491818,0.30548560871225844,0.057647134075388115,0
4,7,12.770599367953386,0.09340051416980974,0.3197320015620818,0.15004725727432508,1
